Date,League,Home Team,Away Team,Channel,Network,iptv,Status
"Jan 25, 2025",NHL,Memphis Grizzlies,Utah Jazz,FDSN MW,,wstr,Wrong Game
"Jan 25, 2025",NBA,Atlanta Hawks,Toronto Raptors,FDSN SE-CHA,,wstr,Wrong Game
"Jan 25, 2025",NBA,Sioux Falls Skyforce,Memphis Hustle,FDSN Florida,,wstr,Wrong Game
"Jan 25, 2025",NHL,New York Islanders,Carolina Hurricanes,MSGSN,Home,wstr,Complete
"Jan 25, 2025",NHL,New York Islanders,Carolina Hurricanes,FDSN South,Away,wstr,No Game
"Jan 25, 2025",NBA,Cleveland Cavaliers,Houston Rockets,FDSN OH,Home,wstr,No Game
"Jan 25, 2025",NBA,New York Knicks,Sacramento Kings,MSG,Home,wstr,Complete
"Jan 25, 2025",NBA,Chicago Bulls,Philadelphia 76ers,CHSN,Home,wstr,Complete
"Jan 25, 2025",NBA,Atlanta Hawks,Toronto Raptors,FDSN SE-MEM,,wstr,Wrong Game
"Jan 26, 2025",NHL,New York Rangers,Colorado Avalanche,MSG,Home,wstr,Complete
"Jan 26, 2025",NHL,New York Rangers,Colorado Avalanche,ALT,Away,wstr,Complete
"Jan 26, 2025",NCAAB,Virginia (W),Louisville,The CW,National,wstr,Complete
"Jan 26, 2025",NHL,Ottawa Senators,Utah Hockey Club,TSN5,Home,wstr,Complete
"Jan 26, 2025",NHL,Winnipeg Jets,Calgary Flames,TSN3,Home,wstr,No Game
"Jan 26, 2025",NHL,Winnipeg Jets,Calgary Flames,SNW,Away,wstr,Complete
"Jan 26, 2025",NBA,Portland Trail Blazers,Oklahoma City Thunder,KATU 2.2,Home,wstr,No Game
"Jan 26, 2025",NBA,Portland Trail Blazers,Oklahoma City Thunder,FDSN OK,Away,wstr,Complete
"Jan 26, 2025",NHL,Chicago Blackhawks,Minnesota Wild,CHSN,Home,wstr,Complete
"Jan 26, 2025",NHL,Chicago Blackhawks,Minnesota Wild,FDSN WI,Away,wstr,No Game
"Jan 26, 2025",NHL,Chicago Blackhawks,Minnesota Wild,FDSN North,Away,wstr,No Game
"Jan 26, 2025",NHL,Vegas Golden Knights,Florida Panthers,SCRIPPS,Away,wstr,No Game
"Jan 27, 2025",NHL,Detroit Red Wings,Los Angeles Kings,FDSN DET EXTRA,Home,wstr,Complete
"Jan 27, 2025",NHL,Detroit Red Wings,Los Angeles Kings,FDSN West,Away,wstr,No Game
"Jan 27, 2025",NHL,Philadelphia Flyers,New Jersey Devils,NBCSP,Home,wstr,Complete
"Jan 27, 2025",NHL,Philadelphia Flyers,New Jersey Devils,MSGSN,Away,wstr,Complete
